Baden-Württemberg	Bádensko-Württembersko
Rajasthan	Rádžasthán
Sikkim	Sikkim
Tamil Nadu	Tamilnádu
Tripura	Tripura
Uttar Pradesh	Uttarákhand
Uttaranchal	Uttarpradéš
West Bengal	Západní Bengálsko
Luxembourg	Lucemburk
Monaco	Monako
Ljubljana	Lublaň
Pristina	Priština
Chisinau	Kišiněv
Zagreb	Záhřeb
Tallinn	Talinn
Belgrade	Bělehrad
Sofia	Sofie
Budapest	Budapešť
Bucharest	Bukurešť
Lisbon	Lisabon
Warsaw	Varšava
Prague	Praha
København	Kodaň
Brussels	Brusel
Kiev	Kyjev
Geneva	Ženeva
Berlin	Berlín
Athens	Athény
Vienna	Vídeň
London	Londýn
Moscow	Moskva
Rome	Řím
Paris	Paříž
Andalucía	Andalusie
Aragón	Aragonie
Cantabria	Kantábrie
Castilla y León	Kastilie a León
Castilla-La Mancha	Kastilie-La Mancha
Cataluña	Katalánsko
Ceuta y Melilla	Ceuta a Melilla
Comunidad de Madrid	Madrid
Comunidad Foral de Navarra	Navarra
Comunidad Valenciana	Valencie
Extremadura	Extremadura
Galicia	Galicie
Islas Baleares	Baleárské ostrovy
Islas Canarias	Kanárské ostrovy
La Rioja	La Rioja
País Vasco	Baskicko
Principado de Asturias	Asturie
Región de Murcia	Murcie
Abruzzo	Abruzzo
Apulia	Apulie
Basilicata	Basilicata
Calabria	Kalábrie
Campania	Kampánie
Emilia-Romagna	Emilia-Romagna
Friuli-Venezia Giulia	Furlandsko-Julské Benátsko
Lazio	Lazio
Liguria	Ligurie
Lombardia	Lombardie
Marche	Marche
Molise	Molise
Piemonte	Piemont
Sardegna	Sardinie
Sicily	Sicilie
Toscana	Toskánsko
Trentino-Alto Adige	Tridentsko-Jižní Tyrolsko
Umbria	Umbrie
Valle d'Aosta	Údolí Aosty
Veneto	Benátsko
Jervis Bay Territory	Teritorium Jervisova zátoka
Northern Territory	Severní Teritorium
Western Australia	Západní Austrálie
Australian Capital Territory	Teritorium hlavního města
New South Wales	Nový Jižní Wales
South Australia	Jižní Austrálie
Victoria	Victoria
Queensland	Queensland
Norfolk Island	Norfolk
Tasmania	Tasmánie
Manitoba	Manitoba
Saskatchewan	Saskatchewan
Alberta	Alberta
British Columbia	Britská Kolumbie
Nunavut	Nunavut
Northwest Territories	Severozápadní teritoria
Yukon	Yukon
Ontario	Ontario
Québec	Québec
New Brunswick	Nový Brunšvik
Nova Scotia	Nové Skotsko
Newfoundland and Labrador	Newfoundland a Labrador
Prince Edward Island	Ostrov prince
Alsace	Alsasko
Aquitaine	Akvitánie
Auvergne	Auvergne
Basse-Normandie	Dolní Normandie
Bourgogne	Burgundsko
Bretagne	Bretaň
Centre	Centre
Champagne-Ardenne	Champagne-Ardenne
Corse	Korsika
Franche-Comté	Franche-Comté
Haute-Normandie	Horní Normandie
Île-de-France	Île-de-France
Languedoc-Roussillon	Languedoc-Roussillon
Limousin	Limousin
Lorraine	Lotrinsko
Midi-Pyrénées	Midi-Pyrénées
Nord-Pas-de-Calais	Nord-Pas-de-Calais
Pays de la Loire	Pays de la Loire
Picardie	Pikardie
Poitou-Charentes	Poitou-Charentes
Provence-Alpes-Côte-d'Azur	Provensálsko-Alpy-Azurové pobřeží
Rhône-Alpes	Rhône-Alpes
Bielefeld	Bielefeld
Dortmund	Dortmund
Duisburg	Duisburg
Wuppertal	Wuppertal
Essen	Essen
Karlsruhe	Karlsruhe
Heidelberg	Heidelberg
Augsburg	Augsburg
Chemnitz	Chemnitz
Bonn	Bonn
Ddsseldorf	Düsseldorf
Mannheim	Mannheim
Wiesbaden	Wiesbaden
Hannover	Hannover
Koblenz	Koblenz
Saarbrucken	Saarbrücken
Leipzig	Lipsko
Stuttgart	Stuttgart
Bremen	Brémy
Nornberg	Norimberk
Cologne	Kolín nad Rýnem
Dresden	Drážďany
Frankfurt	Frankfurt
Hamburg	Hamburg
Munich	Mnichov
Berlin	Berlín
Vienna	Vídeň
Passau	Pasov
Reims	Remeš
Strasbourg	Štrasburk
Paris	Paříž
Trieste	Terst
Genoa	Janov
Turin	Turín
Siracusa	Syracusy
Venice	Benátky
Naples	Neapol
Milan	Milán
Rome	Řím
Florence	Florencie
La Coruea	A Coruña
Seville	Sevilla
Aland	Ålandy
Corse	Korsika
Gotland	Gotland
GREAT_BRITAIN	Velká Británie
Ibiza	Ibiza
ICELAND	Island
IRELAND	Irsko
Kolguyev_I.	Kolgujev
Lesbos	Lesbos
Lofoten	Lofoty
Mallorca	Mallorca
Malta	Malta
Menorca	Menorca
Rhodes	Rhodos
Saaremaa	Saaremaa
Sardegna	Sardinie
Sicilia	Sicílie
Vesteralen	Vesterály
Zealand	Sjælland
Crete	Kréta
ZAGROS_MOUNTAINS	Zagros
ALTAY_MOUNTAINS	Altaj
GREATER_KHINGAN_RANGE	Velký Chingan
STANOVOY_RANGE	Stanové pohoří
CHAINE_ANNAMITIQUE	Annamské pohoří
Siwalik_Hills	Šiválik
PAMIRS	Pamír
HINDU_KUSH	Hindúkuš
KARAKORAM_RA.	Karákóram
KUNLUN_MOUNTAINS	Kchun-lun-šan
TIAN_SHAN	Ťan-šan
HIMALAYAS	Himaláje
sk-pv	Prešovský
HAINAN	Hainan
TIMOR	Timor
Palawan	Palawan
Bohol	Bohol
Negros	Negros
Leyte	Leyte
Samar	Samar
Panay	Panay
Mindoro	Mindoro
SULAWESI	Sulavesi
JAVA	Jáva
MINDANAO	Mindanao
LUZON	Luzon
TAIWAN	Taiwan
KYUSHU	Kjúšú
SHIKOKU	Šikoku
HOKKAIDO	Hokkaidó
SAKHALIN	Sachalin
SRI_LANKA	Srí Lanka
BORNEO	Borneo
SUMATRA	Sumatra
HONSHU	Honšú
ETHIOPIAN_HIGHLANDS	Etiopská vysočina
ATLAS_MOUNTAINS	Atlas
BROOKS_RANGE	Brooksovo pohoří
ALASKA_RANGE	Aljašské hory
CASCADE_RANGE	Kaskádové pohoří
COAST_MOUNTAINS	Pobřežní hory
ROCKY_MOUNTAINS	Skalnaté hory
APPALACHIAN_MTS.	Appalačské pohoří
GREAT_DIVIDING_RANGE	Velké předělové pohoří
URAL_MOUNTAINS	Ural
ANDES	Andy
Tunis	Tunis 
Baku	Baku 
Hanoi	Hanoi 
Ankara	Ankara 
Sanaa	San'á
Damascus	Damašek 
Khartoum	Chartúm 
Pyongyang	Pchjongjang 
Dar_es_Salaam	Dar es Salaam 
Havana	Havana 
Kuwait	Kuvajt 
Santo_Domingo	Santo Domingo 
Accra	Accra 
Tripoli	Tripoli 
Tel_Aviv-Yafo	Tel Aviv-Yafo 
Abidjan	Abidjan 
Brasilia	Brasilia 
Dhaka	Dhaka 
Luanda	Luanda 
Algiers	Alžír 
Rangoon	Rangún 
Caracas	Caracas 
Tashkent	Taškent 
Bangkok	Bangkok 
Lima	Lima 
Dakar	Dakar 
Johannesburg	Johannesburg 
Casablanca	Casablanca 
Seoul	Soul 
Manila	Manila 
Monterrey	Monterrey 
Urumqi	Urumči 
Chengdu	Chengdu 
Osaka	Osaka 
Kinshasa	Kinshasa 
Bangalore	Bangalore 
Baghdad	Bagdád 
Addis_Ababa	Addis Ababa 
Tehran	Teherán 
Buenos_Aires	Buenos Aires 
Kabul	Kábul 
Taipei	Taipei 
Istanbul	Istanbul 
Riyadh	Rijád 
Cape_Town	Kapské Město 
Mexico_City	Mexico City 
Lagos	Lagos 
Beijing	Peking 
Nairobi	Nairobi 
Jakarta	Jakarta 
Bogota	Bogota 
Cairo	Káhira 
Shanghai	Šanghai 
Tokyo	Tokio 
Mumbai	Mumbai 
Santiago	Santiago 
Kolkata	Kalkata
Rio_de_Janeiro	Rio de Janeiro 
Sao_Paulo	Sao Paulo 
Singapore	Singapur 
Hong_Kong	Hongkong
Brahmaputra	Brahmaputra
Mekong	Mekong
Ob	Ob
Parana	Paraná
Congo	Congo
Lena	Lena
Chang_(Yangtze)	Jang-c’-ťiang
Nile	Nil
Amazon	Amazonka
Mississippi	Mississippi
Danube	Dunaj
Lake_Onega	Oněžské jezero
Lake_Ladoga	Ladožské jezero
Lake_Baikal	Bajkal
Lake_Winnipeg	Winnipežské jezero
Great_Slave_Lake	Velké otročí jezero
L._Ontario	Ontario
L._Erie	Erijské jezero
Lake_Superior	Hořejší jezero
Lake_Victoria	Viktoriino jezero
Balqash_Koli	Balchaš
Lake_Tanganyika	Tanganika
Lake_Malawi	Malawi
Aral_Sea	Aralské moře
Lago_de_Nicaragua	Nikaragua
Lago_Titicaca	Titicaca
Lake_Winnipegosis	Winnipegosis
Great_Bear_Lake	Velké medvědí jezero
Reindeer_Lake	Sobí jezero
Lake_Huron	Hurónské jezero
Lake_Michigan	Michiganské jezero
Melekeok	Melekeok 
Doha	Doha 
Baguio_City	Baguio 
Putrajaya	Putrajaya 
Manama	Manama 
Abu_Dhabi	Abu Dhabi 
Ashgabat	Ashgabat 
Dili	Dili 
Dushanbe	Dušanbe 
Islamabad	Islamabad 
Kathmandu	Kathmandu 
Muscat	Muscat 
Colombo	Colombo 
Ulaanbaatar	Ulánbátar 
Amman	Amman 
Bishkek	Biškek 
Beirut	Bejrút 
Tbilisi	Tbilisi 
Astana	Astana 
Vientiane	Vientiane 
Bandar_Seri_Begawan	Bandar Seri Begawan 
Yerevan	Jerevan
Phnom_Penh	Phnompenh
Thimphu	Thimphu 
Naypyidaw	Neipyijto
Male	Male
Jerusalem	Jeruzalém 
Nicosia	Nicosia 
Kuala_Lumpur	Kuala Lumpur 
Dubai	Dubaj 
New_Delhi	Nové Dilí
Lobamba	Lobamba 
Bir_Lehlou	Bir Lehlou 
Moroni	Moroni 
Kigali	Kigali 
Mbabane	Mbabane 
Juba	Juba 
Dodoma	Dodoma 
Djibouti	Džibuti 
Banjul	Banjul 
Porto-Novo	Porto-Novo 
Bujumbura	Bujumbura 
Lome	Lome 
Lusaka	Lusaka 
Harare	Harare 
Kampala	Kampala 
Niamey	Niamey 
Freetown	Freetown 
Bloemfontein	Bloemfontein 
Pretoria	Pretoria 
Maputo	Maputo 
Mogadishu	Mogadišu 
Windhoek	Windhoek 
Abuja	Abuja 
Maseru	Maseru 
Antananarivo	Antananarivo 
Ndjamena	Ndjamena 
Malabo	Malabo 
Asmara	Asmara 
Lilongwe	Lilongwe 
Libreville	Libreville 
Nouakchott	Nouakchott 
Bamako	Bamako 
Brazzaville	Brazzaville 
Conakry	Conakry 
Yamoussoukro	Yamoussoukro 
Bangui	Bangui 
Yaounde	Yaoundé 
Cotonou	Cotonou 
Gaborone	Gaborone 
Ouagadougou	Ouagadougou 
Hargeysa	Hargeysa 
Sao_Tome	Sao Tome 
Monrovia	Monrovia
Laayoune	Laayoune
Rabat	Rabat
